age,year,startmonth,endmonth,string,b0,b1,b2,b3,b4,b5,b6,b7,
>54,1979,1,12,1/1978-12/1979,0.3015,0.1014,0.0121,0.0000,0.0345,0.3195,0.0008,0.2302,1
25-54,1979,1,12,1/1978-12/1979,0.6312,0.1176,0.0325,0.0000,0.0108,0.1745,0.0082,0.0252,1
<25,1978,1,12,1/1977-12/1978,0.3930,0.1865,0.0790,0.0000,0.0026,0.0785,0.2081,0.0524,1
25-35,1978,1,12,1/1977-12/1978,0.6305,0.1130,0.0417,0.0000,0.0052,0.1752,0.0150,0.0195,1
35-44,1978,1,12,1/1977-12/1978,0.6316,0.1222,0.0296,0.0000,0.0101,0.1804,0.0051,0.0211,1
45-54,1978,1,12,1/1977-12/1978,0.6002,0.1143,0.0244,0.0000,0.0210,0.2011,0.0021,0.0369,1
>54,1978,1,12,1/1977-12/1978,0.3002,0.1029,0.0130,0.0000,0.0331,0.3293,0.0005,0.2211,1
25-54,1978,1,12,1/1977-12/1978,0.6221,0.1161,0.0331,0.0000,0.0112,0.1842,0.0083,0.0250,1
<25,1977,1,12,1/1976-12/1977,0.3736,0.1835,0.0867,0.0000,0.0026,0.0834,0.2165,0.0537,1
25-35,1977,1,12,1/1976-12/1977,0.6097,0.1129,0.0498,0.0000,0.0053,0.1890,0.0153,0.0180,1
35-44,1977,1,12,1/1976-12/1977,0.6165,0.1213,0.0346,0.0000,0.0102,0.1928,0.0048,0.0197,1
45-54,1977,1,12,1/1976-12/1977,0.5868,0.1159,0.0288,0.0000,0.0216,0.2092,0.0023,0.0354,1
>54,1977,1,12,1/1976-12/1977,0.2990,0.0995,0.0170,0.0000,0.0335,0.3350,0.0006,0.2154,1
25-54,1977,1,12,1/1976-12/1977,0.6049,0.1163,0.0391,0.0000,0.0115,0.1961,0.0084,0.0236,1
<25,1976,1,12,1/1975-12/1976,0.3585,0.1786,0.0899,0.0000,0.0028,0.0879,0.2255,0.0568,1
25-35,1976,1,12,1/1975-12/1976,0.5963,0.1093,0.0536,0.0000,0.0053,0.2021,0.0150,0.0184,1
35-44,1976,1,12,1/1975-12/1976,0.6044,0.1188,0.0381,0.0000,0.0111,0.2037,0.0044,0.0195,1
45-54,1976,1,12,1/1975-12/1976,0.5814,0.1143,0.0329,0.0000,0.0215,0.2140,0.0021,0.0337,1
>54,1976,1,12,1/1975-12/1976,0.3012,0.0980,0.0191,0.0000,0.0347,0.3355,0.0007,0.2108,1
25-54,1976,1,12,1/1975-12/1976,0.5942,0.1136,0.0428,0.0000,0.0119,0.2062,0.0080,0.0234,1
